dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-05-29,S1C_IW_GRDH_1SDV_20260529T034517_20260529T034547_007863_00FFD9_rtc,VH,-20.747408688496204,-27.907276105533498,-12.684181709634345,-21.284798780628456,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-29/sentinel_rtc.tif
sp,SP_1_1,2026-05-29,S1C_IW_GRDH_1SDV_20260529T034517_20260529T034547_007863_00FFD9_rtc,VV,-7.4465745518108895,-14.878822013217158,-0.7559535272902094,-7.866985185286059,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-29/sentinel_rtc.tif
sp,SP_1_1,2026-05-30,S1D_IW_GRDH_1SDV_20260530T034527_20260530T034556_003008_0052E2_rtc,VH,-15.543765130573572,-25.053584362719533,-9.547012406606948,-15.989608056098831,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-30/sentinel_rtc.tif
sp,SP_1_1,2026-05-30,S1D_IW_GRDH_1SDV_20260530T034527_20260530T034556_003008_0052E2_rtc,VV,-7.699886032880956,-18.6994959024106,-1.6179685188548856,-8.025162285870387,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-30/sentinel_rtc.tif
sp,SP_1_1,2026-06-08,S1C_IW_GRDH_1SDV_20260608T151316_20260608T151339_008016_0104E2_rtc,VH,-22.230663860595712,-29.165508088696566,-10.188998268820752,-23.197217924876654,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-08/sentinel_rtc.tif
sp,SP_1_1,2026-06-08,S1C_IW_GRDH_1SDV_20260608T151316_20260608T151339_008016_0104E2_rtc,VV,-10.287103942608312,-17.641718649476317,-2.1204566765589608,-10.771809721434508,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-08/sentinel_rtc.tif
sp,SP_1_1,2026-06-09,S1D_IW_GRDH_1SDV_20260609T151326_20260609T151349_003161_0057F5_rtc,VH,-21.725251989064166,-29.2282175547138,-8.358847991562703,-23.470917944637904,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-09/sentinel_rtc.tif
sp,SP_1_1,2026-06-09,S1D_IW_GRDH_1SDV_20260609T151326_20260609T151349_003161_0057F5_rtc,VV,-9.561900709251018,-16.514784590602765,-0.6708935411221338,-10.39468673876678,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-09/sentinel_rtc.tif
sp,SP_1_1,2026-06-11,S1D_IW_GRDH_1SDV_20260611T034528_20260611T034557_003183_0058B3_rtc,VH,-19.96429223741777,-27.18218562998065,-10.365166496721145,-20.844135395618576,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-11/sentinel_rtc.tif
sp,SP_1_1,2026-06-11,S1D_IW_GRDH_1SDV_20260611T034528_20260611T034557_003183_0058B3_rtc,VV,-5.647463297739702,-15.969121276290132,2.502727693789009,-7.185864804458796,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-11/sentinel_rtc.tif
